IDENTIFICATION, AGERANGE, NUMROWS
YEAR, MALE, WHITE MALE, BLACK MALE, ASIAN OR PACIFIC ISLANDER MALE, MALE AMERICAN INDIAN ESKIMO, FEMALE, FEMALE WHITE, FEMALE BLACK, FEMALE ASIAN OR PACIFIC ISLANDER, FEMALE AMERICAN INDIAN ESKIMO, DISEASE BY HEART, MALIGNANT NEOPLASM, CEREBROVASCULAR DISEASE, CHRONIC LOWER RESPIRATORY DISEASE, ACCIDENTS (GENERALIZED), ALZHEIMERS DISEASE, DIABETES MELLITUS, INFLUENZA PNEUMONIA, SUICIDE
A1, ageonetofour, 6
1990, 610, 549, 1261, 287, 620, 343, 309, 639, 183, 381, 85.3, 114.3, 14.6, 9.5, 46.3, 0.0, 13.1, 0.0, 17.7,
2000, 543, 497, 1018, 250, 520, 313, 281, 588, 156, 285, 85.3, 114.3, 14.6, 9.5, 46.3, 0.0, 13.1, 0.0, 17.7,
2005, 548, 509,  949, 242, 589, 320, 291, 568, 143, 366, 85.3, 114.3, 14.6, 9.5, 46.3, 0.0, 13.1, 0.0, 17.7,
2006, 541, 505,  922, 233, 592, 318, 292, 548, 145, 342, 85.3, 114.3, 14.6, 9.5, 46.3, 0.0, 13.1, 0.0, 17.7,
2007, 530, 498,  877, 229, 573, 315, 291, 537, 136, 346, 85.3, 114.3, 14.6, 9.5, 46.3, 0.0, 13.1, 0.0, 17.7,
2008, 527, 501,  828, 223, 618, 318, 295, 526, 137, 343, 85.3, 114.3, 14.6, 9.5, 46.3, 0.0, 13.1, 0.0, 17.7,
A7, agefiftyfivetosixtyfour, 6,
1990, 1553, 1467, 2618, 789, 1211, 879, 823, 1453, 483, 806, 200.3, 0.0, 32.1, 39.1, 37.3, 0.0, 34.6, 0.0, 15.5,
2000, 1231, 1163, 2080, 642, 1090, 772, 731, 1227, 391, 772, 200.3, 0.0, 32.1, 39.1, 37.3, 0.0, 34.6, 0.0, 15.5,
2005, 1131, 1068, 1954, 545, 1124, 699, 664, 1104, 353, 699, 200.3, 0.0, 32.1, 39.1, 37.3, 0.0, 34.6, 0.0, 15.5,
2006, 1110, 1051, 1892, 551, 1030, 687, 655, 1076, 333, 687, 200.3, 0.0, 32.1, 39.1, 37.3, 0.0, 34.6, 0.0, 15.5,
2007, 1101, 1043, 1871, 523, 1037, 670, 638, 1047, 329, 684, 200.3, 0.0, 32.1, 39.1, 37.3, 0.0, 34.6, 0.0, 15.5,
2008, 1105, 1052, 1828, 530, 1039, 669, 639, 1030, 328, 670, 200.3, 0.0, 32.1, 39.1, 37.3, 0.0, 34.6, 0.0, 15.5,
A8, agesixtyfivetoseventyfour, 6
1990, 3492, 3398, 4946, 2041, 2456, 1991, 1924, 2866, 1089, 1679, 462.9, 715.5, 93.0, 148.1, 45.2, 0.0, 78.1, 28.7, 0.0,
2000, 2980, 2906, 4254, 1661, 2478, 1921, 1868, 2690,  996, 1900, 462.9, 715.5, 93.0, 148.1, 45.2, 0.0, 78.1, 28.7, 0.0,
2005, 2612, 2553, 3747, 1404, 2254, 1736, 1700, 2342,  906, 1781, 462.9, 715.5, 93.0, 148.1, 45.2, 0.0, 78.1, 28.7, 0.0,
2006, 2516, 2456, 3669, 1329, 2147, 1678, 1646, 2240,  898, 1657, 462.9, 715.5, 93.0, 148.1, 45.2, 0.0, 78.1, 28.7, 0.0,
2007, 2457, 2397, 3605, 1305, 2132, 1633, 1600, 2210,  833, 1612, 462.9, 715.5, 93.0, 148.1, 45.2, 0.0, 78.1, 28.7, 0.0,
2008, 2434, 2378, 3541, 1313, 2173, 1623, 1595, 2156,  868, 1558, 462.9, 715.5, 93.0, 148.1, 45.2, 0.0, 78.1, 28.7, 0.0,
A9, ageseventyfivetoeightyfour, 6
1990, 7889, 7845, 9130, 5009, 5389, 4883, 4839, 5688, 3128, 3073, 1315.0, 1256.3, 322.3, 368.9, 105.5, 176.7, 162.7, 114.1, 0.0,
2000, 6973, 6933, 8486, 4328, 5351, 4815, 4785, 5697, 2882, 3850, 1315.0, 1256.3, 322.3, 368.9, 105.5, 176.7, 162.7, 114.1, 0.0,
2005, 6350, 6343, 7667, 3759, 4373, 4520, 4519, 5264, 2530, 3603, 1315.0, 1256.3, 322.3, 368.9, 105.5, 176.7, 162.7, 114.1, 0.0,
2006, 6178, 6182, 7393, 3606, 4198, 4388, 4395, 5029, 2526, 3746, 1315.0, 1256.3, 322.3, 368.9, 105.5, 176.7, 162.7, 114.1, 0.0,
2007, 6038, 6049, 7169, 3538, 4193, 4304, 4318, 4903, 2471, 3437, 1315.0, 1256.3, 322.3, 368.9, 105.5, 176.7, 162.7, 114.1, 0.0,
2008, 6035, 6054, 7106, 3500, 4157, 4316, 4344, 4819, 2439, 3264, 1315.0, 1256.3, 322.3, 368.9, 105.5, 176.7, 162.7, 114.1, 0.0,
A10, ageeightyfiveandover, 6
1990, 14023, 18268, 16955, 12446, 11244, 14274, 14401, 13310, 10254,  8201, 4267.7, 1590.2, 1015.5, 596.1, 286.7, 849.1, 276.2, 463.2, 0.0,
2000, 17501, 17716, 16791, 12125, 10726, 14719, 14891, 13941,  9052,  9118, 4267.7, 1590.2, 1015.5, 596.1, 286.7, 849.1, 276.2, 463.2, 0.0,
2005, 14889, 15157, 13810,  9839,  8419, 13298, 13498, 12790,  7793,  7065, 4267.7, 1590.2, 1015.5, 596.1, 286.7, 849.1, 276.2, 463.2, 0.0,
2006, 14309, 14577, 13206,  9525,  7540, 12759, 12966, 12197,  7560,  6634, 4267.7, 1590.2, 1015.5, 596.1, 286.7, 849.1, 276.2, 463.2, 0.0,
2007, 14006, 34286, 12965,  8918,  7639, 12442, 12647, 11997,  7334,  6248, 4267.7, 1590.2, 1015.5, 596.1, 286.7, 849.1, 276.2, 463.2, 0.0,
2008, 14023, 14359, 12538,  8742,  6503, 12536, 12769, 11874,  7487,  5981, 4267.7, 1590.2, 1015.5, 596.1, 286.7, 849.1, 276.2, 463.2, 0.0,
