IDENTIFICATION, STATE, NUMROWS
YEAR, DEATH RATE, MURDER RATE, ALL CAUSES, DISEASE BY HEART, MALIGNANT NEOPLASMS, CEREBROVASCULAR DISEASE, CHRONIC LOWER RESPIRATORY DISEASE, ACCIDENTS(GENERALIZED), ALZHEIMERS, DIABETES MELLITUS, INFLUENZA AND PNEUMONIA, SUICIDE
S1, ALABAMA, 5
2005, 9.7, 1.4, 0,
2007, 9.5, 1.6, 773.6, 172.9, 191.9, 40.3, 44.8, 41.5, 27.9, 21.9, 14.1, 13.7,
2008, 9.5, 2.4, 0,
S20, MARYLAND, 5
1990, 8.0,   0, 0,
2000, 8.3, 8.1, 0,
2005, 7.8, 9.9, 0,
2007, 7.8, 9.8, 782.7, 202.4, 180.7, 42.7, 35.1, 26.2, 16.0, 23.4, 17.9, 9.0,
2008, 7.8, 8.8, 0,
S21, MASSACHUSETTS, 5
1990, 8.8,   0, 0,
2000, 8.9, 2.0, 0,
2005, 8.4, 2.7, 0,
2007, 8.2, 2.9, 707.5, 165.5, 179.8, 36.5, 31.6, 30.8, 20.9, 16.6, 19.5, 7.6,
2008, 8.2, 2.6, 0,
S22, MICHIGAN, 5
1990, 8.5,   0, 0,
2000, 8.7, 6.7, 0,
2005, 8.6, 6.1, 0,
2007, 8.6, 6.7, 806.1, 221.5, 187.3, 44.3, 43.6, 36.1, 22.1, 26.3, 15.0, 11.0,
2008, 8.8, 5.4, 0,
S23, MINNESOTA, 5
1990, 7.9,   0, 0,
2000, 7.7, 3.1, 0,
2005, 7.3, 2.2, 0,
2007, 7.1, 2.2, 661.5, 129.8, 169.7, 38.1, 32.8, 37.4, 19.6, 19.6, 10.2, 10.8,
2008, 7.4, 2.1, 0,
S24, MISSISSIPPI, 5
1990, 9.8,   0, 0,
2000, 10.1, 9.0, 0,
2005, 10.0, 7.3, 0,
2007, 9.7, 7.1, 943.0, 266.5, 200.4, 53.0, 47.5, 61.9, 26.5, 21.8, 18.3, 13.8,
2008, 9.9, 8.1, 0,
S25, MISSOURI, 5
1990, 9.8,   0, 0,
2000, 9.8, 6.2, 0,
2005, 9.4, 6.9, 0,
2007, 9.2, 6.5, 826.7, 214.4, 191.6, 48.2, 47.4, 48.4, 24.3, 22.3, 18.9, 13.5,
2008, 9.6, 7.7, 0,
S26, MONTANA, 5
1990, 8.6,   0, 0,
2000, 9.0, 1.8, 0,
2005, 9.1, 1.9, 0,
2007, 9.0, 1.5, 772.7, 163.1, 172.1, 38.5, 55.0, 60.2, 22.1, 23.1, 15.8, 19.4,
2008, 9.2, 2.4, 0,
S27, NEBRASKA, 5
1990, 9.4,   0, 0,
2000, 8.8, 3.7, 0,
2005, 8.5, 2.5, 0,
2007, 8.6, 3.8, 743.7, 165.3, 177.3, 43.1, 45.8, 35.7, 22.9, 23.3, 15.1, 10.2,
2008, 8.7, 3.8, 0,
S28, NEVADA, 5
1990, 7.8,   0, 0,
2000, 7.6, 6.5, 0,
2005, 7.9, 8.5, 0,
2007, 7.3, 7.5, 803.5, 200.0, 180.2, 38.8, 47.5, 48.4, 12.3, 12.9, 18.4, 18.3,
2008, 8.0, 6.3, 0,
S29, NEWHAMPSHIRE, 5
1990, 7.7,   0, 0,
2000, 7.8, 1.8, 0,
2005, 7.8, 1.4, 0,
2007, 7.8, 1.1, 727.0, 174.9, 184.5, 34.3, 44.0, 38.5, 28.9, 20.1, 14.5, 11.1,
2008, 7.8, 1.0, 0,
S30, NEWJERSEY, 5
1990, 9.1,   0, 0,
2000, 8.9, 3.4, 0,
2005, 8.3, 4.8, 0,
2007, 8.0, 4.4, 724.2, 191.9, 180.4, 35.8, 31.3, 26.8, 18.0, 24.4, 13.7, 6.7,
2008, 8.1, 4.3, 0,
S31, NEWMEXICO, 5
1990, 7.0,   0, 0,
2000, 7.4, 7.4, 0,
2005, 7.8, 7.4, 0,
2007, 7.9, 8.2,755.9, 159.2, 157.3, 39.2, 43.6, 66.7, 15.5, 32.7, 14.6, 20.4,
2008, 8.1, 7.2, 0,
S32, NEWYORK, 5
1990, 9.4,   0, 0,
2000, 8.3, 5.0, 0,
2005, 7.9, 4.5, 0,
2007, 7.7, 4.2, 686.4, 225.1, 168.0, 28.2, 30.8, 25.3, 8.8, 17.5, 20.0, 7.0,
2008, 7.6, 4.3, 0,
S33, NORTHCAROLINA, 5
1990, 8.6,   0, 0,
2000, 8.9, 7.0, 0,
2005, 8.6, 6.7, 0,
2007, 8.4, 6.5, 834.4, 191.0, 189.0, 50.3, 47.1, 48.3, 27.7, 23.4, 18.4, 11.7,
2008, 8.4, 6.5, 0,
S34, NORTHDAKOTA, 5
1990, 8.9,   0, 0,
2000, 9.1, 0.6, 0,
2005, 9.0, 1.1, 0,
2007, 8.7, 1.9, 679.5, 164.1, 165.3, 37.3, 32.9, 39.3, 40.4, 28.3, 14.6, 14.4,
2008, 9.2, 0.5, 0,
S35, OHIO, 5
1990, 9.1,   0, 0,
2000, 9.5, 3.7, 0,
2005, 9.5, 5.1, 0,
2007, 9.3, 4.5, 830.3, 204.8, 197.9, 45.3, 50.7, 41.1, 27.4, 29.1, 13.3, 11.0,
2008, 9.6, 4.7, 0,
S36, OKLAHOMA, 5
1990, 9.7,   0, 0,
2000, 10.2, 5.3, 0,
2005, 10.2, 5.3, 0,
2007, 10.0, 6.1, 920.4, 241.6, 198.2, 53.8, 61.2, 58.4, 23.0, 29.3, 20.1, 14.7,
2008, 10.2, 6.3, 0,
S37, OREGON, 5
1990, 8.8,   0, 0,
2000, 8.6, 2.0, 0,
2005, 8.5, 2.2, 0,
2007, 8.4, 1.9, 753.9, 156.9, 179.3, 43.6, 46.3, 41.5, 27.6, 27.0, 11.1, 15.2,
2008, 8.4, 2.2, 0,
S38, PENNSYLVANIA, 5
1990, 10.3,   0, 0,
2000, 10.7, 4.9, 0,
2005, 10.4, 6.1, 0,
2007, 10.1, 5.8, 790.1, 199.4, 188.2, 42.9, 38.1, 40.9, 19.8, 22.0, 15.2, 11.2,
2008, 10.2, 5.6, 0,
S39, RHODEISLAND, 5
1990, 9.5,   0, 0,
2000, 9.6, 4.3, 0,
2005, 9.3, 3.2, 0,
2007, 9.2, 1.8, 750.0, 203.6, 179.6, 33.5, 32.7, 34.6, 22.2, 19.2, 16.1, 8.7,
2008, 9.3, 2.8, 0,
S40, SOUTHCAROLINA, 5
1990, 8.5,   0, 0,
2000, 9.2, 5.8, 0,
2005, 9.1, 7.4, 0,
2007, 8.9, 8.0, 849.7, 192.9, 186.7, 53.4, 44.0, 53.0, 30.9, 26.2, 15.8, 11.7,
2008, 9.0, 6.8, 0,
S41, SOUTHDAKOTA, 5
1990, 9.1,   0, 0,
2000, 9.3, 0.9, 0,
2005, 9.1, 2.3, 0,
2007, 8.6, 2.1, 693.5, 159.1, 171.3, 38.7, 47.0, 41.8, 30.2, 25.6, 17.9, 12.5,
2008, 8.8, 3.2, 0,
S42, TENNESSEE, 5
1990, 9.5,   0, 0,
2000, 9.7, 7.2, 0,
2005, 9.6, 7.2, 0,
2007, 9.3, 6.4, 885.2, 220.6, 200.3, 53.9, 49.2, 52.1, 35.9, 26.2, 22.5, 13.3,
2008, 9.5, 6.6, 0,
S43, TEXAS, 5
1990, 7.4,   0, 0,
2000, 7.2, 5.9, 0,
2005, 6.8, 6.2, 0,
2007, 6.7, 5.9, 777.7, 191.9, 170.3, 49.0, 41.2, 41.4, 24.7, 24.9, 16.1, 10.4,
2008, 6.8, 5.6, 0,
S44, UTAH, 5
1990, 5.3,   0, 0,
2000, 5.5, 1.9, 0,
2005, 5.4, 2.3, 0,
2007, 5.3, 2.2, 694.2, 152.1, 128.8, 38.9, 31.9, 34.4, 20.5, 27.6, 16.0, 15.4,
2008, 5.1, 1.4, 0,
S45, VERMONT, 5
1990, 8.2,   0, 0,
2000, 8.4, 1.5, 0,
2005, 8.1, 1.3, 0,
2007, 8.3, 1.9, 729.3, 161.2, 188.5, 37.6, 44.9, 44.7, 28.4, 24.4, 9.8, 13.8,
2008, 8.4, 2.7, 0,
S46, VIRGINIA, 5
1990, 7.8,   0, 0,
2000, 8.0, 5.7, 0,
2005, 7.6, 6.1, 0,
2007, 7.6, 5.3, 770.6, 182.7, 182.7, 44.5, 37.6, 38.1, 23.4, 19.7, 16.6, 11.2,
2008, 7.6, 4.7, 0,
S47, WASHINGTON, 5
1990, 7.6,   0, 0,
2000, 7.5, 3.3, 0,
2005, 7.3, 3.3, 0,
2007, 7.3, 2.7, 722.2, 167.3, 177.7, 41.4, 42.2, 39.8, 40.7, 23.2, 11.1, 13.0,
2008, 7.4, 2.9, 0,
S48, WESTVIRGINIA, 5
1990, 10.8,   0, 0,
2000, 11.7, 2.5, 0,
2005, 11.4, 4.4, 0,
